food;initial;mort;food_level;dead;duration
0.5;10;0.7;0.05;4.3;61
1;20;0.72;0.05;8.8;61
2;40;0.84;0.05;20.5;61
5;100;0.53;0.05;32.3;60
10;200;1.08;0.05;129;60
1.25;10;0.49;0.125;3;61
2.5;20;0.61;0.125;7.5;61
5;40;0.37;0.125;9;61
12.5;100;0.91;0.125;55.3;61
25;200;1.04;0.125;124.3;60
2.5;10;0.28;0.25;1.3;47
5;20;0.45;0.25;4.3;47
10;40;0.53;0.25;10;47
25;100;0.74;0.25;34.7;47
50;200;1;0.25;92.3;46
5;10;0.17;0.5;0.5;29
10;20;0.73;0.5;4.3;29
20;40;0.67;0.5;7.8;29
50;100;0.83;0.5;23.8;29
